somme 0 [2, 3, 7, 5, 8] (TypeHand.HIGH_CARD) 416$
somme 695 [2, 8, 2, 8, 8] (TypeHand.FULL_HOUSE) 752$
somme 696 [2, T, T, 2, T] (TypeHand.FULL_HOUSE) 579$
somme 697 [2, A, 8, J, J] (TypeHand.FULL_HOUSE) 562$
somme 698 [3, 2, J, 5, J] (TypeHand.FULL_HOUSE) 953$
somme 699 [3, 3, 3, 2, 2] (TypeHand.FULL_HOUSE) 965$
somme 700 [3, 3, 3, 7, 7] (TypeHand.FULL_HOUSE) 180$
somme 701 [3, 3, 3, A, A] (TypeHand.FULL_HOUSE) 582$
somme 702 [3, 3, 6, 6, 3] (TypeHand.FULL_HOUSE) 41$
somme 703 [3, 3, 8, 8, J] (TypeHand.FULL_HOUSE) 331$
somme 704 [3, 4, 3, 3, 4] (TypeHand.FULL_HOUSE) 259$
somme 705 [3, 5, 5, J, 3] (TypeHand.FULL_HOUSE) 341$
somme 706 [3, 5, 8, J, J] (TypeHand.FULL_HOUSE) 295$
somme 707 [3, T, 3, T, T] (TypeHand.FULL_HOUSE) 236$
somme 708 [4, J, 4, 2, 2] (TypeHand.FULL_HOUSE) 954$
somme 709 [4, J, 4, A, A] (TypeHand.FULL_HOUSE) 591$
somme 710 [4, 2, 4, 2, 2] (TypeHand.FULL_HOUSE) 45$
somme 711 [4, 4, 3, 4, 3] (TypeHand.FULL_HOUSE) 788$
somme 712 [4, 6, 6, 4, 6] (TypeHand.FULL_HOUSE) 11$
somme 713 [4, 8, 4, 8, 4] (TypeHand.FULL_HOUSE) 56$
somme 714 [4, 8, 8, 8, 4] (TypeHand.FULL_HOUSE) 708$
somme 715 [4, 9, 9, J, 4] (TypeHand.FULL_HOUSE) 979$
somme 716 [4, T, T, 4, T] (TypeHand.FULL_HOUSE) 741$
somme 717 [5, 2, 5, 5, 2] (TypeHand.FULL_HOUSE) 107$
somme 718 [5, 3, 3, 5, 3] (TypeHand.FULL_HOUSE) 208$
somme 719 [5, 4, 4, 5, 4] (TypeHand.FULL_HOUSE) 14$
somme 720 [5, 4, 5, 5, 4] (TypeHand.FULL_HOUSE) 987$
somme 721 [5, 5, 6, 5, 6] (TypeHand.FULL_HOUSE) 360$
somme 722 [5, 5, 8, 5, 8] (TypeHand.FULL_HOUSE) 928$
somme 723 [5, 6, 6, 6, 5] (TypeHand.FULL_HOUSE) 134$
somme 724 [5, 9, 5, 9, 5] (TypeHand.FULL_HOUSE) 201$
somme 725 [5, T, 5, J, T] (TypeHand.FULL_HOUSE) 20$
somme 726 [6, J, 4, 6, 4] (TypeHand.FULL_HOUSE) 254$
somme 727 [6, 6, 2, 2, 6] (TypeHand.FULL_HOUSE) 490$
somme 728 [6, 6, 8, J, 8] (TypeHand.FULL_HOUSE) 970$
somme 729 [6, 6, 8, 6, 8] (TypeHand.FULL_HOUSE) 432$
somme 730 [6, 7, 6, 7, 6] (TypeHand.FULL_HOUSE) 92$
somme 731 [6, 7, 7, 6, 7] (TypeHand.FULL_HOUSE) 451$
somme 732 [6, 9, J, 6, 9] (TypeHand.FULL_HOUSE) 332$
somme 733 [6, Q, Q, 6, 6] (TypeHand.FULL_HOUSE) 646$
somme 734 [6, A, A, 6, A] (TypeHand.FULL_HOUSE) 937$
somme 735 [7, J, 7, K, K] (TypeHand.FULL_HOUSE) 812$
somme 736 [7, J, Q, T, J] (TypeHand.FULL_HOUSE) 399$
somme 737 [7, 2, 7, 2, 7] (TypeHand.FULL_HOUSE) 419$
somme 738 [7, 7, 5, J, 5] (TypeHand.FULL_HOUSE) 706$
somme 739 [7, 7, 7, T, T] (TypeHand.FULL_HOUSE) 962$
somme 740 [7, 7, Q, J, Q] (TypeHand.FULL_HOUSE) 6$
somme 741 [7, 8, 7, 8, 8] (TypeHand.FULL_HOUSE) 189$
somme 742 [7, 9, 9, 7, 9] (TypeHand.FULL_HOUSE) 489$
somme 743 [8, J, J, 4, T] (TypeHand.FULL_HOUSE) 541$
somme 744 [8, J, 7, T, J] (TypeHand.FULL_HOUSE) 222$
somme 745 [8, 2, 8, 2, 2] (TypeHand.FULL_HOUSE) 935$
somme 746 [8, 7, 7, 7, 8] (TypeHand.FULL_HOUSE) 695$
somme 747 [8, 8, 4, 4, J] (TypeHand.FULL_HOUSE) 192$
somme 748 [8, 8, 8, 3, 3] (TypeHand.FULL_HOUSE) 851$
somme 749 [8, 8, 8, K, K] (TypeHand.FULL_HOUSE) 85$
somme 750 [8, 8, Q, 8, Q] (TypeHand.FULL_HOUSE) 841$
somme 751 [8, 9, 8, 8, 9] (TypeHand.FULL_HOUSE) 919$
somme 752 [8, 9, 8, 9, 9] (TypeHand.FULL_HOUSE) 767$
somme 753 [8, Q, 8, Q, J] (TypeHand.FULL_HOUSE) 316$
somme 754 [8, Q, Q, Q, 8] (TypeHand.FULL_HOUSE) 407$
somme 755 [8, K, 8, K, K] (TypeHand.FULL_HOUSE) 610$
somme 756 [9, 2, 2, J, 9] (TypeHand.FULL_HOUSE) 69$
somme 757 [9, 3, 3, 3, 9] (TypeHand.FULL_HOUSE) 396$
somme 758 [9, 3, 9, 3, 9] (TypeHand.FULL_HOUSE) 336$
somme 759 [9, 4, 4, 9, 4] (TypeHand.FULL_HOUSE) 770$
somme 760 [9, 5, 9, 9, 5] (TypeHand.FULL_HOUSE) 808$
somme 761 [9, 6, 6, 6, 9] (TypeHand.FULL_HOUSE) 174$
somme 762 [9, 7, 7, 7, 9] (TypeHand.FULL_HOUSE) 182$
somme 763 [9, 9, 2, 2, 2] (TypeHand.FULL_HOUSE) 886$
somme 764 [9, 9, 4, 4, 9] (TypeHand.FULL_HOUSE) 669$
somme 765 [9, 9, 9, 6, 6] (TypeHand.FULL_HOUSE) 172$
somme 766 [9, T, 9, T, 9] (TypeHand.FULL_HOUSE) 250$
somme 767 [9, A, J, 9, A] (TypeHand.FULL_HOUSE) 102$
somme 768 [9, A, 9, 9, A] (TypeHand.FULL_HOUSE) 830$
somme 769 [T, J, 8, J, 2] (TypeHand.FULL_HOUSE) 983$
somme 770 [T, 3, J, 6, J] (TypeHand.FULL_HOUSE) 169$
somme 771 [T, 3, 3, 3, T] (TypeHand.FULL_HOUSE) 932$
somme 772 [T, 4, T, 4, 4] (TypeHand.FULL_HOUSE) 203$
somme 773 [T, 5, T, 5, 5] (TypeHand.FULL_HOUSE) 28$
somme 774 [T, 5, T, 5, T] (TypeHand.FULL_HOUSE) 354$
somme 775 [T, 6, T, T, 6] (TypeHand.FULL_HOUSE) 561$
somme 776 [T, 8, T, 8, T] (TypeHand.FULL_HOUSE) 943$
somme 777 [T, 9, 9, J, T] (TypeHand.FULL_HOUSE) 709$
somme 778 [T, T, J, 2, 2] (TypeHand.FULL_HOUSE) 32$
somme 779 [T, T, 8, 8, 8] (TypeHand.FULL_HOUSE) 1$
somme 780 [T, T, T, 9, 9] (TypeHand.FULL_HOUSE) 76$
somme 781 [T, T, K, K, T] (TypeHand.FULL_HOUSE) 573$
somme 782 [Q, J, 8, 6, J] (TypeHand.FULL_HOUSE) 840$
somme 783 [Q, 2, 2, 2, Q] (TypeHand.FULL_HOUSE) 944$
somme 784 [Q, 3, 3, 3, Q] (TypeHand.FULL_HOUSE) 370$
somme 785 [Q, 4, Q, J, 4] (TypeHand.FULL_HOUSE) 411$
somme 786 [Q, 4, Q, 4, 4] (TypeHand.FULL_HOUSE) 896$
somme 787 [Q, 6, 6, Q, Q] (TypeHand.FULL_HOUSE) 258$
somme 788 [Q, 7, Q, 7, Q] (TypeHand.FULL_HOUSE) 958$
somme 789 [Q, 9, 9, Q, 9] (TypeHand.FULL_HOUSE) 456$
somme 790 [Q, T, T, T, Q] (TypeHand.FULL_HOUSE) 749$
somme 791 [Q, T, T, Q, Q] (TypeHand.FULL_HOUSE) 177$
somme 792 [Q, Q, 5, 5, 5] (TypeHand.FULL_HOUSE) 846$
somme 793 [Q, Q, 7, 7, 7] (TypeHand.FULL_HOUSE) 671$
somme 794 [Q, Q, 9, 9, Q] (TypeHand.FULL_HOUSE) 540$
somme 795 [Q, A, A, J, Q] (TypeHand.FULL_HOUSE) 98$
somme 796 [Q, A, A, Q, Q] (TypeHand.FULL_HOUSE) 684$
somme 797 [K, J, 9, 9, K] (TypeHand.FULL_HOUSE) 778$
somme 798 [K, J, K, 3, 3] (TypeHand.FULL_HOUSE) 921$
somme 799 [K, 4, 4, 4, K] (TypeHand.FULL_HOUSE) 888$
somme 800 [K, 5, K, K, 5] (TypeHand.FULL_HOUSE) 433$
somme 801 [K, 6, K, K, 6] (TypeHand.FULL_HOUSE) 260$
somme 802 [K, 7, 7, K, 7] (TypeHand.FULL_HOUSE) 112$
somme 803 [K, T, T, K, K] (TypeHand.FULL_HOUSE) 828$
somme 804 [K, K, J, A, A] (TypeHand.FULL_HOUSE) 712$
somme 805 [K, K, 2, 2, 2] (TypeHand.FULL_HOUSE) 150$
somme 806 [K, K, 7, 7, K] (TypeHand.FULL_HOUSE) 768$
somme 807 [K, K, 9, 9, 9] (TypeHand.FULL_HOUSE) 374$
somme 808 [K, K, K, 4, 4] (TypeHand.FULL_HOUSE) 875$
somme 809 [A, J, 7, 7, A] (TypeHand.FULL_HOUSE) 131$
somme 810 [A, 2, 2, A, A] (TypeHand.FULL_HOUSE) 880$
somme 811 [A, 4, 4, A, 4] (TypeHand.FULL_HOUSE) 506$
somme 812 [A, 5, 5, 5, A] (TypeHand.FULL_HOUSE) 111$
somme 813 [A, 6, 6, J, A] (TypeHand.FULL_HOUSE) 638$
somme 814 [A, 6, A, 6, 6] (TypeHand.FULL_HOUSE) 683$
somme 815 [A, 8, A, 8, J] (TypeHand.FULL_HOUSE) 29$
somme 816 [A, K, K, K, A] (TypeHand.FULL_HOUSE) 294$
somme 817 [A, K, A, K, A] (TypeHand.FULL_HOUSE) 283$
somme 818 [A, A, 3, J, 3] (TypeHand.FULL_HOUSE) 61$
somme 819 [A, A, 3, 3, A] (TypeHand.FULL_HOUSE) 620$
somme 820 [A, A, 4, A, 4] (TypeHand.FULL_HOUSE) 321$
somme 821 [A, A, 5, 5, A] (TypeHand.FULL_HOUSE) 765$
somme 822 [A, A, T, A, T] (TypeHand.FULL_HOUSE) 281$
somme 823 [J, J, J, 8, J] (TypeHand.FOUR_OF_A_KIND) 450$
somme 824 [J, J, T, 2, 2] (TypeHand.FOUR_OF_A_KIND) 176$
somme 825 [J, J, T, 6, T] (TypeHand.FOUR_OF_A_KIND) 66$
somme 826 [J, J, K, 3, K] (TypeHand.FOUR_OF_A_KIND) 445$
somme 827 [J, 3, 3, 3, 8] (TypeHand.FOUR_OF_A_KIND) 914$
somme 828 [J, 4, J, K, K] (TypeHand.FOUR_OF_A_KIND) 477$
somme 829 [J, 5, J, 3, J] (TypeHand.FOUR_OF_A_KIND) 657$
somme 830 [J, 5, 5, 3, 5] (TypeHand.FOUR_OF_A_KIND) 931$
somme 831 [J, 6, 6, J, T] (TypeHand.FOUR_OF_A_KIND) 968$
somme 832 [J, 7, 7, 4, J] (TypeHand.FOUR_OF_A_KIND) 772$
somme 833 [J, 7, Q, 7, 7] (TypeHand.FOUR_OF_A_KIND) 406$
somme 834 [J, 8, J, 7, 7] (TypeHand.FOUR_OF_A_KIND) 187$
somme 835 [J, 8, 8, A, 8] (TypeHand.FOUR_OF_A_KIND) 995$
somme 836 [J, 9, 9, 6, 9] (TypeHand.FOUR_OF_A_KIND) 647$
somme 837 [J, T, T, T, 5] (TypeHand.FOUR_OF_A_KIND) 653$
somme 838 [J, Q, J, Q, 8] (TypeHand.FOUR_OF_A_KIND) 685$
somme 839 [J, Q, 8, 8, 8] (TypeHand.FOUR_OF_A_KIND) 198$
somme 840 [J, K, 7, 7, 7] (TypeHand.FOUR_OF_A_KIND) 385$
somme 841 [J, K, K, K, Q] (TypeHand.FOUR_OF_A_KIND) 44$
somme 842 [J, A, J, A, Q] (TypeHand.FOUR_OF_A_KIND) 51$
somme 843 [J, A, A, A, 6] (TypeHand.FOUR_OF_A_KIND) 729$
somme 844 [2, J, 7, 2, J] (TypeHand.FOUR_OF_A_KIND) 884$
somme 845 [2, 2, 2, J, 5] (TypeHand.FOUR_OF_A_KIND) 443$
somme 846 [2, 2, 2, J, 9] (TypeHand.FOUR_OF_A_KIND) 43$
somme 847 [2, 2, 2, 3, 2] (TypeHand.FOUR_OF_A_KIND) 882$
somme 848 [2, 2, 2, 4, 2] (TypeHand.FOUR_OF_A_KIND) 279$
somme 849 [2, 2, 2, 6, 2] (TypeHand.FOUR_OF_A_KIND) 920$
somme 850 [2, 2, 3, J, 2] (TypeHand.FOUR_OF_A_KIND) 429$
somme 851 [2, 8, 2, 2, 2] (TypeHand.FOUR_OF_A_KIND) 476$
somme 852 [2, T, 2, 2, 2] (TypeHand.FOUR_OF_A_KIND) 758$
somme 853 [2, Q, 2, J, 2] (TypeHand.FOUR_OF_A_KIND) 230$
somme 854 [2, Q, 2, 2, 2] (TypeHand.FOUR_OF_A_KIND) 438$
somme 855 [2, Q, Q, J, Q] (TypeHand.FOUR_OF_A_KIND) 858$
somme 856 [2, A, J, A, A] (TypeHand.FOUR_OF_A_KIND) 153$
somme 857 [3, 2, 3, 3, 3] (TypeHand.FOUR_OF_A_KIND) 87$
somme 858 [3, 3, 3, 3, K] (TypeHand.FOUR_OF_A_KIND) 362$
somme 859 [3, 3, 6, 3, 3] (TypeHand.FOUR_OF_A_KIND) 47$
somme 860 [3, 3, 7, 3, 3] (TypeHand.FOUR_OF_A_KIND) 50$
somme 861 [3, 3, 8, 3, 3] (TypeHand.FOUR_OF_A_KIND) 538$
somme 862 [3, 3, Q, 3, 3] (TypeHand.FOUR_OF_A_KIND) 607$
somme 863 [3, 4, 4, 4, J] (TypeHand.FOUR_OF_A_KIND) 693$
somme 864 [3, 4, 4, 4, 4] (TypeHand.FOUR_OF_A_KIND) 380$
somme 865 [3, 6, J, 3, 3] (TypeHand.FOUR_OF_A_KIND) 223$
somme 866 [3, Q, J, Q, Q] (TypeHand.FOUR_OF_A_KIND) 309$
somme 867 [3, A, 3, 3, 3] (TypeHand.FOUR_OF_A_KIND) 292$
somme 868 [3, A, A, A, A] (TypeHand.FOUR_OF_A_KIND) 699$
somme 869 [4, J, 4, T, 4] (TypeHand.FOUR_OF_A_KIND) 534$
somme 870 [4, 4, 4, Q, J] (TypeHand.FOUR_OF_A_KIND) 210$
somme 871 [4, 4, 6, 4, 4] (TypeHand.FOUR_OF_A_KIND) 73$
somme 872 [4, 5, J, 4, 4] (TypeHand.FOUR_OF_A_KIND) 390$
somme 873 [4, 5, 5, 5, 5] (TypeHand.FOUR_OF_A_KIND) 488$
somme 874 [4, 8, 8, 8, 8] (TypeHand.FOUR_OF_A_KIND) 624$
somme 875 [5, J, 7, J, 7] (TypeHand.FOUR_OF_A_KIND) 71$
somme 876 [5, J, 9, J, 5] (TypeHand.FOUR_OF_A_KIND) 233$
somme 877 [5, 2, J, 5, 5] (TypeHand.FOUR_OF_A_KIND) 217$
somme 878 [5, 2, 2, 2, 2] (TypeHand.FOUR_OF_A_KIND) 269$
somme 879 [5, 5, 5, 5, 3] (TypeHand.FOUR_OF_A_KIND) 505$
somme 880 [5, 5, 5, A, 5] (TypeHand.FOUR_OF_A_KIND) 622$
somme 881 [5, 5, 7, 5, 5] (TypeHand.FOUR_OF_A_KIND) 737$
somme 882 [5, 6, 5, 5, 5] (TypeHand.FOUR_OF_A_KIND) 110$
somme 883 [5, 8, 5, 5, 5] (TypeHand.FOUR_OF_A_KIND) 31$
somme 884 [5, 9, 5, 5, 5] (TypeHand.FOUR_OF_A_KIND) 612$
somme 885 [5, Q, 5, 5, 5] (TypeHand.FOUR_OF_A_KIND) 330$
somme 886 [5, K, 5, J, 5] (TypeHand.FOUR_OF_A_KIND) 961$
somme 887 [5, A, A, A, A] (TypeHand.FOUR_OF_A_KIND) 679$
somme 888 [6, J, 6, 4, 6] (TypeHand.FOUR_OF_A_KIND) 26$
somme 889 [6, J, 7, 7, 7] (TypeHand.FOUR_OF_A_KIND) 64$
somme 890 [6, 2, 6, J, J] (TypeHand.FOUR_OF_A_KIND) 652$
somme 891 [6, 6, J, 8, 6] (TypeHand.FOUR_OF_A_KIND) 434$
somme 892 [6, 6, 6, 9, 6] (TypeHand.FOUR_OF_A_KIND) 2$
somme 893 [6, 6, 6, K, 6] (TypeHand.FOUR_OF_A_KIND) 678$
somme 894 [6, 6, 7, 6, 6] (TypeHand.FOUR_OF_A_KIND) 99$
somme 895 [6, 6, 9, J, 6] (TypeHand.FOUR_OF_A_KIND) 352$
somme 896 [6, 7, 6, 6, J] (TypeHand.FOUR_OF_A_KIND) 272$
somme 897 [6, T, 6, 6, 6] (TypeHand.FOUR_OF_A_KIND) 834$
somme 898 [7, 2, 2, 2, 2] (TypeHand.FOUR_OF_A_KIND) 116$
somme 899 [7, 2, 7, J, 7] (TypeHand.FOUR_OF_A_KIND) 423$
somme 900 [7, 2, 7, 7, 7] (TypeHand.FOUR_OF_A_KIND) 667$
somme 901 [7, 3, 7, 7, 7] (TypeHand.FOUR_OF_A_KIND) 990$
somme 902 [7, 7, 6, 7, 7] (TypeHand.FOUR_OF_A_KIND) 199$
somme 903 [7, 7, 7, J, 9] (TypeHand.FOUR_OF_A_KIND) 629$
somme 904 [7, 7, 7, 5, J] (TypeHand.FOUR_OF_A_KIND) 518$
somme 905 [7, 7, 7, A, J] (TypeHand.FOUR_OF_A_KIND) 689$
somme 906 [7, 7, T, J, 7] (TypeHand.FOUR_OF_A_KIND) 601$
somme 907 [7, 8, 8, 8, 8] (TypeHand.FOUR_OF_A_KIND) 106$
somme 908 [7, 9, 9, J, J] (TypeHand.FOUR_OF_A_KIND) 10$
somme 909 [8, 7, 7, 7, 7] (TypeHand.FOUR_OF_A_KIND) 214$
somme 910 [8, 7, 8, J, J] (TypeHand.FOUR_OF_A_KIND) 822$
somme 911 [8, 8, J, 6, 8] (TypeHand.FOUR_OF_A_KIND) 763$
somme 912 [8, 8, 8, J, 3] (TypeHand.FOUR_OF_A_KIND) 784$
somme 913 [8, 8, 8, 8, 2] (TypeHand.FOUR_OF_A_KIND) 982$
somme 914 [8, 8, 8, 8, 3] (TypeHand.FOUR_OF_A_KIND) 951$
somme 915 [8, 8, 8, 8, 9] (TypeHand.FOUR_OF_A_KIND) 805$
somme 916 [8, 8, 8, K, J] (TypeHand.FOUR_OF_A_KIND) 889$
somme 917 [8, T, 8, 8, 8] (TypeHand.FOUR_OF_A_KIND) 627$
somme 918 [8, A, A, A, A] (TypeHand.FOUR_OF_A_KIND) 80$
somme 919 [9, J, J, 3, 3] (TypeHand.FOUR_OF_A_KIND) 787$
somme 920 [9, 2, 2, 2, 2] (TypeHand.FOUR_OF_A_KIND) 527$
somme 921 [9, 2, 9, 9, J] (TypeHand.FOUR_OF_A_KIND) 379$
somme 922 [9, 9, 3, 9, 9] (TypeHand.FOUR_OF_A_KIND) 315$
somme 923 [9, 9, 4, J, 9] (TypeHand.FOUR_OF_A_KIND) 183$
somme 924 [9, 9, 5, 9, J] (TypeHand.FOUR_OF_A_KIND) 588$
somme 925 [9, 9, 6, J, J] (TypeHand.FOUR_OF_A_KIND) 357$
somme 926 [9, 9, 9, 9, 6] (TypeHand.FOUR_OF_A_KIND) 913$
somme 927 [9, 9, 9, Q, J] (TypeHand.FOUR_OF_A_KIND) 922$
somme 928 [9, Q, 9, 9, 9] (TypeHand.FOUR_OF_A_KIND) 126$
somme 929 [9, A, A, A, A] (TypeHand.FOUR_OF_A_KIND) 133$
somme 930 [T, 2, T, T, T] (TypeHand.FOUR_OF_A_KIND) 600$
somme 931 [T, 5, T, J, J] (TypeHand.FOUR_OF_A_KIND) 319$
somme 932 [T, 7, 7, 7, 7] (TypeHand.FOUR_OF_A_KIND) 705$
somme 933 [T, 9, J, T, T] (TypeHand.FOUR_OF_A_KIND) 161$
somme 934 [T, 9, 9, J, 9] (TypeHand.FOUR_OF_A_KIND) 139$
somme 935 [T, T, 5, T, T] (TypeHand.FOUR_OF_A_KIND) 613$
somme 936 [T, T, T, 7, J] (TypeHand.FOUR_OF_A_KIND) 145$
somme 937 [T, T, T, T, 3] (TypeHand.FOUR_OF_A_KIND) 883$
somme 938 [T, T, T, T, 9] (TypeHand.FOUR_OF_A_KIND) 395$
somme 939 [T, T, T, Q, J] (TypeHand.FOUR_OF_A_KIND) 814$
somme 940 [T, T, T, Q, T] (TypeHand.FOUR_OF_A_KIND) 340$
somme 941 [T, T, K, T, J] (TypeHand.FOUR_OF_A_KIND) 9$
somme 942 [T, T, K, T, T] (TypeHand.FOUR_OF_A_KIND) 422$
somme 943 [Q, 4, 4, 4, 4] (TypeHand.FOUR_OF_A_KIND) 917$
somme 944 [Q, 6, 6, J, 6] (TypeHand.FOUR_OF_A_KIND) 231$
somme 945 [Q, 9, Q, Q, Q] (TypeHand.FOUR_OF_A_KIND) 216$
somme 946 [Q, Q, 2, Q, Q] (TypeHand.FOUR_OF_A_KIND) 672$
somme 947 [Q, Q, 5, Q, J] (TypeHand.FOUR_OF_A_KIND) 820$
somme 948 [Q, Q, 5, Q, Q] (TypeHand.FOUR_OF_A_KIND) 388$
somme 949 [Q, Q, Q, Q, 6] (TypeHand.FOUR_OF_A_KIND) 54$
somme 950 [Q, Q, Q, Q, 8] (TypeHand.FOUR_OF_A_KIND) 539$
somme 951 [Q, Q, Q, Q, A] (TypeHand.FOUR_OF_A_KIND) 544$
somme 952 [Q, Q, Q, K, Q] (TypeHand.FOUR_OF_A_KIND) 680$
somme 953 [K, J, 3, 3, 3] (TypeHand.FOUR_OF_A_KIND) 119$
somme 954 [K, J, 4, 4, 4] (TypeHand.FOUR_OF_A_KIND) 553$
somme 955 [K, J, K, 7, K] (TypeHand.FOUR_OF_A_KIND) 275$
somme 956 [K, 2, K, K, K] (TypeHand.FOUR_OF_A_KIND) 7$
somme 957 [K, 4, 4, 4, 4] (TypeHand.FOUR_OF_A_KIND) 924$
somme 958 [K, 7, 7, 7, 7] (TypeHand.FOUR_OF_A_KIND) 916$
somme 959 [K, 7, K, K, K] (TypeHand.FOUR_OF_A_KIND) 205$
somme 960 [K, 9, 9, 9, 9] (TypeHand.FOUR_OF_A_KIND) 634$
somme 961 [K, K, J, 9, K] (TypeHand.FOUR_OF_A_KIND) 597$
somme 962 [K, K, 3, J, K] (TypeHand.FOUR_OF_A_KIND) 915$
somme 963 [K, K, 8, J, K] (TypeHand.FOUR_OF_A_KIND) 74$
somme 964 [K, K, Q, K, K] (TypeHand.FOUR_OF_A_KIND) 72$
somme 965 [K, K, K, J, 5] (TypeHand.FOUR_OF_A_KIND) 668$
somme 966 [K, A, K, K, K] (TypeHand.FOUR_OF_A_KIND) 486$
somme 967 [A, J, J, A, 9] (TypeHand.FOUR_OF_A_KIND) 989$
somme 968 [A, J, A, K, A] (TypeHand.FOUR_OF_A_KIND) 157$
somme 969 [A, 3, J, A, A] (TypeHand.FOUR_OF_A_KIND) 263$
somme 970 [A, 6, A, A, A] (TypeHand.FOUR_OF_A_KIND) 307$
somme 971 [A, 9, J, A, A] (TypeHand.FOUR_OF_A_KIND) 905$
somme 972 [A, K, A, A, A] (TypeHand.FOUR_OF_A_KIND) 101$
somme 973 [A, A, A, Q, J] (TypeHand.FOUR_OF_A_KIND) 284$
somme 974 [A, A, A, A, 2] (TypeHand.FOUR_OF_A_KIND) 227$
somme 975 [J, J, J, J, J] (TypeHand.FIVE_OF_A_KIND) 358$
somme 976 [J, J, 2, 2, 2] (TypeHand.FIVE_OF_A_KIND) 824$
somme 977 [J, J, 5, 5, 5] (TypeHand.FIVE_OF_A_KIND) 136$
somme 978 [J, 3, J, 3, 3] (TypeHand.FIVE_OF_A_KIND) 999$
somme 979 [J, 7, 7, J, 7] (TypeHand.FIVE_OF_A_KIND) 559$
somme 980 [J, 8, 8, J, 8] (TypeHand.FIVE_OF_A_KIND) 780$
somme 981 [J, 9, 9, J, 9] (TypeHand.FIVE_OF_A_KIND) 681$
somme 982 [J, T, J, T, T] (TypeHand.FIVE_OF_A_KIND) 643$
somme 983 [J, A, A, A, A] (TypeHand.FIVE_OF_A_KIND) 96$
somme 984 [2, 2, 2, 2, J] (TypeHand.FIVE_OF_A_KIND) 631$
somme 985 [3, 3, 3, 3, J] (TypeHand.FIVE_OF_A_KIND) 162$
somme 986 [4, J, 4, J, 4] (TypeHand.FIVE_OF_A_KIND) 142$
somme 987 [4, 4, J, 4, 4] (TypeHand.FIVE_OF_A_KIND) 783$
somme 988 [5, J, 5, 5, 5] (TypeHand.FIVE_OF_A_KIND) 49$
somme 989 [6, 6, J, 6, J] (TypeHand.FIVE_OF_A_KIND) 163$
somme 990 [6, 6, 6, 6, J] (TypeHand.FIVE_OF_A_KIND) 955$
somme 991 [7, J, 7, 7, 7] (TypeHand.FIVE_OF_A_KIND) 771$
somme 992 [8, 8, 8, J, 8] (TypeHand.FIVE_OF_A_KIND) 929$
somme 993 [9, J, 9, 9, 9] (TypeHand.FIVE_OF_A_KIND) 255$
somme 994 [T, J, J, J, T] (TypeHand.FIVE_OF_A_KIND) 35$
somme 995 [T, J, T, T, T] (TypeHand.FIVE_OF_A_KIND) 632$
somme 996 [Q, Q, Q, J, Q] (TypeHand.FIVE_OF_A_KIND) 500$
somme 997 [K, K, K, J, K] (TypeHand.FIVE_OF_A_KIND) 497$
somme 998 [A, J, A, J, J] (TypeHand.FIVE_OF_A_KIND) 89$
somme 999 [A, J, A, J, A] (TypeHand.FIVE_OF_A_KIND) 911$
246456454
